,runname,query_id,metric,value
203,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,451602,pndcg@10,0.8816810567206091
204,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,47923,pndcg@10,0.771851714027985
205,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,489204,pndcg@10,0.7509321764429272
206,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,490595,pndcg@10,0.8027176117635343
207,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,527433,pndcg@10,0.8333333333333334
208,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,573724,pndcg@10,0.952022409312263
209,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,833860,pndcg@10,0.9930817977192026
210,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,855410,pndcg@10,0.8068076475336649
211,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,87181,pndcg@10,1.0
212,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,87452,pndcg@10,0.9200145130912877
213,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,915593,pndcg@10,0.9946829120436407
214,colbert_rankgpt4o-full_msmarco-passage-trec-dl-2019-judged.run,962179,pndcg@10,1.0
215,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1037798,pndcg@10,0.9931149522197357
216,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,104861,pndcg@10,1.0
217,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1063750,pndcg@10,1.0
218,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1103812,pndcg@10,0.817710760123023
219,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1106007,pndcg@10,0.7265503610271
220,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1110199,pndcg@10,0.9798863720465406
221,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1112341,pndcg@10,0.9690280189730636
222,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1113437,pndcg@10,0.8253778941552439
223,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1114646,pndcg@10,0.9379107981614396
224,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1114819,pndcg@10,0.9963871527512507
225,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1115776,pndcg@10,0.9679660607134952
226,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1117099,pndcg@10,1.0
227,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1121402,pndcg@10,1.0
228,colbert_rankgpt4o_msmarco-passage-trec-dl-2019-judged.run,1121709,pndcg@10,0.9567774470431779
